uid,title,content,type,audio_file_name,category
39,John 6-51-58,"<p>Gospel John 6- 51-58<br/>
A Reading From The Holy Gospel According To John</p>
<p>6: 51-58</p>
<p>Jesus said to the crowds:<br/>
“I am the living bread that came down from heaven;<br/>
whoever eats this bread will live forever;<br/>
and the bread that I will give is my flesh<br/>
for the life of the world.”<br/>
The Jews quarreled among themselves, saying,<br/>
Jesus said to them, “Amen, amen, I say to you,<br/>
unless you eat the flesh of the Son of Man<br/>
and drink his blood, you do not have life within you.<br/>
Whoever eats my flesh and drinks my blood<br/>
has eternal life, and I will raise him on the last day.<br/>
For my flesh is true food, and my blood is true drink.<br/>
Whoever eats my flesh and drinks my blood<br/>
remains in me and I in him.<br/>
Just as the living Father sent me<br/>
and I have life because of the Father,<br/>
so also the one who feeds on me will have life<br/>
because of me.<br/>
This is the bread that came down from heaven.<br/>
Unlike your ancestors who ate and still died,<br/>
whoever eats this bread will live forever.”</p>
<p>The Gospel of the Lord</p>",reading,,New Testament
40,Lamentations  3:17-26,"<p>Lamentations</p>
<p>3:17-26</p>
<p>My soul is bereft of peace;&amp;nbsp;I have forgotten what happiness is;so I say, &quot;My endurance has perished;&amp;nbsp;so has my hope from the Lord.&quot;</p>
<p>Remember my affliction and my wanderings,&amp;nbsp;the wormwood and the gall!</p>
<p>My soul continually remembers itand is bowed down within me.</p>
<p>But this I call to mind,and therefore I have hope:</p>
<p>The steadfast love of the Lord never ceases;&amp;nbsp;his mercies never come to an end;</p>
<p>they are new every morning;great is your faithfulness.&quot;The Lord is my portion,&quot; says my soul,&quot;therefore I will hope in him.&quot;</p>
<p>The Lord is good to those who wait for him,&amp;nbsp;to the soul who seeks him.</p>
<p>It is good that one should wait quietly&amp;nbsp;for the salvation of the Lord.</p>",reading,,Old Testament
41,Let Me Go,,reading,,Poems
42,"Letter St. Paul To Romans 14-7-9,10b-12","<p>Letter St. Paul To Romans 14- 7-9, 10b-12</p>
<p>14: 7-9, 10b-12</p>
<p>Brothers and Sisters:<br/>
None of us lives for oneself, and no one dies for oneself. For if we live, we live for the Lord,<br/>
and if we die, we die for the Lord;<br/>
so then, whether we live or die, we are the Lord&#x27;s.<br/>
For this is why Christ died and came to life,<br/>
that he might be Lord<br/>
of both the dead and the living.<br/>
We shall all stand before the judgment seat of God;<br/>
for it is written: &quot;As I live, says the Lord,<br/>
every knee shall bend before me,<br/>
and every tongue shall give praise to God.&quot;<br/>
So then each of us shall give an account of himself<br/>
to God.</p>
<p>The Word of the</p>",reading,,New Testament
43,Letter St. Paul To Romans 6-3-9,"<p>Letter St. Paul To Romans 6- 3-9</p>
<p>6: 3-9</p>
<p>Brothers and Sisters:<br/>
Are you unaware that we<br/>
who were baptized into Christ Jesus<br/>
were baptized into his death?<br/>
We were indeed buried with him<br/>
through baptism into death,<br/>
so that, just as Christ was raised from the dead<br/>
by the glory of the Father,<br/>
we too might live in newness of life.<br/>
For if we have grown into union with him<br/>
through a death like his,<br/>
we shall also be united with him in the resurrection.<br/>
We know that our old self was crucified with him,<br/>
so that our sinful body might be done away with,<br/>
that we might no longer be in slavery to sin.<br/>
For a dead person has been absolved from sin.<br/>
If, then, we have died with Christ,<br/>
we believe that we shall also live with him.<br/>
We know that Christ,<br/>
raised from the dead, dies no more;<br/>
death no longer has power over him.</p>
<p>The Word of the Lord</p>",reading,,New Testament
44,"Letter St. Paul To Romans 8-31-35,37-39","<p>Letter St. Paul To Romans 8- 31-35, 37-39</p>
<p>8: 31-35, 37-39<br/>
Brothers and Sisters:<br/>
What then shall we say to this?<br/>
If God is for us, who can be against us?<br/>
He who did not spare his own Son<br/>
but handed him over for us all,<br/>
how will he not also give us<br/>
everything else along with him?<br/>
Who will bring a charge against God&#x27;s chosen ones?<br/>
It is God who acquits us. Who will condemn?<br/>
It is Christ [Jesus] who died, rather,<br/>
was raised, who also is at the right hand of God,<br/>
who indeed intercedes for us.<br/>
What will separate us from the love of Christ?<br/>
Will anguish, or distress, or persecution, or famine,<br/>
or nakedness, or peril, or the sword?<br/>
No, in all these things we conquer overwhelmingly<br/>
through him who loved us.<br/>
For I am convinced that neither death, nor life,<br/>
nor angels, nor principalities, nor present things,<br/>
nor future things, nor powers, nor height,<br/>
nor depth, nor any other creature<br/>
will be able to separate us<br/>
from the love of God in Christ Jesus our Lord.</p>
<p>The Word of the Lord</p>",reading,,New Testament
45,Luke 24: 1-12,"<p>But on the first day of the week, at early dawn, they went to the tomb, taking the spices they had prepared.And they found the stone rolled away from the tomb, but when they went in they did not find the body of the Lord Jesus. While they were perplexed about this, behold, two men stood by them in dazzling apparel. And as they were frightened and bowed their faces to the ground, the men said to them, “Why do you seek the living among the dead? He is not here, but has risen. Remember how he told you, while he was still in Galilee, that the Son of Man must be delivered into the hands of sinful men and be crucified and on the third day rise.” And they remembered his words, and returning from the tomb they told all these things to the eleven and to all the rest.Now it was Mary Magdalene and Joanna and Mary the mother of James and the other women with them who told these things to the apostles; but these words seemed to them an idle tale, and they did not believe them. But Peter rose and ran to the tomb; stooping and looking in, he saw the linen cloths by themselves; and he went home marvelling at what had happened.</p>",reading,,New Testament
46,Luke 24: 13-27,"<p>Luke 24:13-27</p>
<p>That very day two of them were going to a village named Emmaus, about seven miles from Jerusalem, and they were talking with each other about all these things that had happened.While they were talking and discussing together, Jesus himself drew near and went with them. But their eyes were kept from recognising him. And he said to them, “What is this conversation that you are holding with each other as you walk?” And they stood still, looking sad. Then one of them, named Cleopas, answered him, “Are you the only visitor to Jerusalem who does not know the things that have happened there in these days?” And he said to them, “What things?” And they said to him, “Concerning Jesus of Nazareth, a man who was a prophet mighty in deed and word before God and all the people, and how our chief priests and rulers delivered him up to be condemned to death, and crucified him. But we had hoped that he was the one to redeem Israel. Yes, and besides all this, it is now the third day since these things happened. Moreover, some women of our company amazed us. They were at the tomb early in the morning, and when they did not find his body, they came back saying that they had even seen a vision of angels, who said that he was alive. Some of those who were with us went to the tomb and found it just as the women had said, but him they did not see.” And he said to them, “O foolish ones, and slow of heart to believe all that the prophets have spoken! Was it not necessary that the Christ should suffer these things and enter into his glory?” And beginning with Moses and all the Prophets, he interpreted to them in all the Scriptures the things concerning himself.</p>",reading,,New Testament
47,Luke 24: 28-35,"<p>So they drew near to the village to which they were going. He acted as if he were going farther, but they urged him strongly, saying, “Stay with us, for it is toward evening and the day is now far spent.” So he went in to stay with them. When he was at table with them, he took the bread and blessed and broke it and gave it to them. And their eyes were opened, and they recognised him. And he vanished from their sight. They said to each other, “Did not our hearts burn within us while he talked to us on the road, while he opened to us the Scriptures?” And they rose that same hour and returned to Jerusalem. And they found the eleven and those who were with them gathered together, saying, “The Lord has risen indeed, and has appeared to Simon!” Then they told what had happened on the road, and how he was known to them in the breaking of the bread.</p>",reading,,New Testament
48,Luke 24: 36-48,"<p>As they were talking about these things, Jesus himself stood among them, and said to them, “Peace to you!” But they were startled and frightened and thought they saw a spirit. And he said to them, “Why are you troubled, and why do doubts arise in your hearts? See my hands and my feet, that it is I myself. Touch me, and see. For a spirit does not have flesh and bones as you see that I have.” And when he had said this, he showed them his hands and his feet. And while they still disbelieved for joy and were marvelling, he said to them, “Have you anything here to eat?” They gave him a piece of broiled fish, and he took it and ate before them.Then he said to them, “These are my words that I spoke to you while I was still with you, that everything written about me in the Law of Moses and the Prophets and the Psalms must be fulfilled.” Then he opened their minds to understand the Scriptures, and said to them, “Thus it is written, that the Christ should suffer and on the third day rise from the dead, and that repentance and forgiveness of sins should be proclaimed in his name to all nations, beginning from Jerusalem. You are witnesses of these things.</p>",reading,,New Testament
49,Make Me A Channel Of Your Peace,"<p>Where there is hatred, let me bring your love;<br/>
where there is injury, your pardon Lord,<br/>
and where there&#x27;s doubt, true faith in you.</p>
<p>Make me a channel of your peace:<br/>
where there&#x27;s despair in life let me bring hope;<br/>
Where there is darkness, only light,<br/>
and where there&#x27;s sadness, ever joy.</p>
<p>Refrain<br/>
O, Master, grant that I may never seek<br/>
so much to be consoled as to console,<br/>
to be understood as to understand,<br/>
to be loved as to love with all my soul.</p>
<p>Make me a channel of your peace:<br/>
it is in pardoning that we are pardoned,<br/>
in giving to all that we receive,<br/>
and in dying that we&#x27;re born to eternal life.</p>
<p>Refrain<br/>
O, Master, grant that I may never seek<br/>
so much to be consoled as to console,<br/>
to be understood as to understand,<br/>
to be loved as to love with all my soul.</p>
<p>Make me a channel of your peace:<br/>
Where there despair in life, let me bring hope;<br/>
Where there is darkness, only light,<br/>
and where there&#x27;s sadness, ever joy.</p>",lyric,15 Make Me A Channel Of Your Peace,","
50,Miss Me,<p>missmebutletmego</p>,reading,,Poems
51,"Miss Me, But Let Me Go","<p>When I come to the end of the road,<br/>
And the sun has set for me,<br/>
I want no rites in a gloom-filled room,<br/>
Why cry for a soul set free?</p>
<p>Miss me a little, but not for long,<br/>
And not with your head bowed low,<br/>
Remember the love that we once shared,<br/>
Miss me, but let me go.</p>",reading,,Poems
52,Morning Has Broken,"<p>like the first morning,<br/>
blackbird has spoken like the first bird.<br/>
Praise for the singing Praise for the morning<br/>
Praise for them springing fresh from the Word!</p>
<p>Sweet the rain&#x27;s new fall sunlit from heaven,<br/>
like the first dew-fall on the first grass.<br/>
Praise for the sweetness of the wet garden,<br/>
sprung in completeness where his feet pass.</p>
<p>Mine is the sunlight Mine is the morning,<br/>
born of the one light Eden saw play!.<br/>
Praise with elation, praise ev&#x27;ry morning,<br/>
God&#x27;s re-creation of the new day!</p>
<p>Morning has broken like the first morning,<br/>
blackbird has spoken like the first bird.<br/>
Praise for the singing Praise for the morning<br/>
Praise for them springing fresh from the Word.</p>",lyric,16 Morning Has Broken,","
53,My Way (Female),"<p>Lyrics<br/>
And now, the end is near<br/>
And so I face the final curtain<br/>
My friend, I&#x27;ll say it clear<br/>
I&#x27;ll state my case, of which I&#x27;m certain</p>
<p>I&#x27;ve lived a life that&#x27;s full<br/>
I traveled each and every highway<br/>
And more, much more than this<br/>
I did it my way</p>
<p>Regrets, I&#x27;ve had a few<br/>
But then again, too few to mention<br/>
I did what I had to do<br/>
And saw it through without exemption</p>
<p>I planned each charted course<br/>
Each careful step along the byway<br/>
And more, much more than this<br/>
I did it my way</p>
<p>Yes, there were times, I&#x27;m sure you knew<br/>
When I bit off more than I could chew<br/>
But through it all, when there was doubt<br/>
I ate it up and spit it out<br/>
I faced it all, and I stood tall<br/>
And did it my way</p>
<p>I&#x27;ve loved, I&#x27;ve laughed and cried<br/>
I&#x27;ve had my fill, my share of losing<br/>
And now, as tears subside<br/>
I find it all so amusing</p>
<p>To think I did all that<br/>
And may I say, not in a shy way<br/>
Oh, no, oh, no, not me<br/>
I did it my way</p>
<p>For what is a man, what has he got?<br/>
If not himself, then he has naught<br/>
To say the things he truly feels<br/>
And not the words of one who kneels<br/>
The record shows I took the blows<br/>
And did it my way</p>
<p>Yes, it was my way&quot;,True</p>",lyric,17 My Way (Female),","
54,My Way (Male),"<p>My Way (Female),mywayfemale,&quot;My Way (Female)<br/>
Lyrics<br/>
And now, the end is near<br/>
And so I face the final curtain<br/>
My friend, I&#x27;ll say it clear<br/>
I&#x27;ll state my case, of which I&#x27;m certain</p>
<p>I&#x27;ve lived a life that&#x27;s full<br/>
I traveled each and every highway<br/>
And more, much more than this<br/>
I did it my way</p>
<p>Regrets, I&#x27;ve had a few<br/>
But then again, too few to mention<br/>
I did what I had to do<br/>
And saw it through without exemption</p>
<p>I planned each charted course<br/>
Each careful step along the byway<br/>
And more, much more than this<br/>
I did it my way</p>
<p>Yes, there were times, I&#x27;m sure you knew<br/>
When I bit off more than I could chew<br/>
But through it all, when there was doubt<br/>
I ate it up and spit it out<br/>
I faced it all, and I stood tall<br/>
And did it my way</p>
<p>I&#x27;ve loved, I&#x27;ve laughed and cried<br/>
I&#x27;ve had my fill, my share of losing<br/>
And now, as tears subside<br/>
I find it all so amusing</p>
<p>To think I did all that<br/>
And may I say, not in a shy way<br/>
Oh, no, oh, no, not me<br/>
I did it my way</p>
<p>For what is a man, what has he got?<br/>
If not himself, then he has naught<br/>
To say the things he truly feels<br/>
And not the words of one who kneels<br/>
The record shows I took the blows<br/>
And did it my way</p>
<p>Yes, it was my way&quot;,True</p>",lyric,18 My Way (Male),","
55,New Angel In Heaven,"<p>Father hold me close, and raise me up above the pain.<br/>
Gently wipe away the tears that fall like summer rain.<br/>
Give me faith and grace to know my child is not alone,<br/>
And that my angel waits for me until you call me home.</p>
<p>So Dear Lord please pity me,<br/>
Lift the darkness, set me free.<br/>
Command Your angels sing to sleep,<br/>
The little one I just could not keep</p>
<p>Father hold me close, and raise me up above the pain.<br/>
Gently wipe away the tears that fall like summer rain.<br/>
Give me faith and grace to know my child is not alone,<br/>
And that my angel waits for me until you call me home.</p>
<p>I held you close for a little while,<br/>
A fragile body, radiant smile.<br/>
Then you left whilst I must stay,<br/>
To wait until my final days.</p>
<p>Father hold me close, and raise me up above the pain.<br/>
Gently wipe away the tears that fall like summer rain.<br/>
Give me faith and grace to know my child is not alone,<br/>
And that my angel waits for me until you call me home.</p>
<p>Take my sadness, take my pain,<br/>
Hjelp me find joy once again.<br/>
And when my days are all but done,<br/>
Bring me to, my little one.</p>
<p>Father hold me close, and raise me up above the pain.<br/>
Gently wipe away the tears that fall like summer rain.<br/>
Give me faith and grace to know my child is not alone,<br/>
And that my angel waits for me until you call me home.</p>",lyric,19 New Angel In Heaven,","
56,OT Ecclesiastes 3.1-8,"<p>OT Ecclesiastes 3. 1-8<br/>
(3: 1-8)</p>
<p>There is an appointed time for everything,<br/>
and a time for every affair under the heavens.<br/>
A time to give birth, and a time to die;<br/>
a time to plant, and a time to uproot the plant.<br/>
A time to kill, and a time to heal;<br/>
a time to tear down, and a time to build.<br/>
A time to weep, and a time to laugh;<br/>
a time to mourn, and a time to dance.<br/>
A time to scatter stones, and a time to gather them;<br/>
a time to embrace,<br/>
and a time to be far from embraces.<br/>
A time to seek, and a time to lose;<br/>
a time to keep, and a time to cast away.<br/>
A time to rend, and a time to sew;<br/>
a time to be silent, and a time to speak.<br/>
A time to love, and a time to hate;<br/>
a time of war, and a time of peace.</p>
<p>The Word of the Lord</p>",reading,,Old Testament
57,OT Ezekiel 37 12-14,"<p>OT Ezekiel 37; 12-14</p>
<p>37: 12-14</p>
<p>Therefore, prophesy and say to them:<br/>
thus says the Lord GOD:<br/>
Look! I am going to open your graves;<br/>
I will make you come up out of your graves,<br/>
my people, and bring you back to the land of Israel. You shall know that I am the LORD,<br/>
when I open your graves<br/>
and make you come up out of them, my people!<br/>
I will put my spirit in you that you may come to life,<br/>
and I will settle you in your land.<br/>
Then you shall know that I am the LORD.<br/>
I have spoken; I will do it.</p>
<p>The Word of the Lord</p>",reading,,Old Testament
58,OT Isaiah 35-1-10,"<p>OT Isaiah 35- 1-10</p>
<p>35: 1-10</p>
<p>The wilderness and the parched land will exult;<br/>
the Arabah will rejoice and bloom;<br/>
like the crocus it shall bloom abundantly,<br/>
and rejoice with joyful song.<br/>
The glory of Lebanon will be given to it,<br/>
the splendor of Carmel and Sharon;<br/>
they will see the glory of the LORD,<br/>
the splendor of our God.<br/>
Strengthen hands that are feeble,<br/>
make firm knees that are weak,<br/>
say to the fearful of heart:<br/>
be strong, do not fear!<br/>
Here is your God,<br/>
he comes with vindication;<br/>
with divine recompense<br/>
he comes to save you.<br/>
Then the eyes of the blind shall see,<br/>
and the ears of the deaf be opened;<br/>
then the lame shall leap like a stag,<br/>
and the mute tongue sing for joy.<br/>
For waters will burst forth in the wilderness,<br/>
and streams in the Arabah.<br/>
The burning sands will become pools,<br/>
and the thirsty ground, springs of water;<br/>
the abode where jackals crouch<br/>
will be a marsh for the reed and papyrus.<br/>
A highway will be there,<br/>
called the holy way;<br/>
no one unclean may pass over it,<br/>
but it will be for his people;<br/>
no traveler, not even fools, shall go astray on it.<br/>
No lion shall be there,<br/>
nor any beast of prey approach, nor be found.<br/>
But there the redeemed shall walk,<br/>
and the ransomed of the LORD shall return,<br/>
and enter Zion singing,<br/>
crowned with everlasting joy;<br/>
they meet with joy and gladness,<br/>
sorrow and mourning flee away.</p>
<p>The Word of the Lord</p>",reading,,Old Testament
59,OT Wisdom 3 1-6.9,"<p>OT Wisdom 3; 1-6.9</p>
<p>The souls of the righteous are in the hand of God,<br/>
and no torment shall touch them.<br/>
They seemed, in the view of the foolish, to be dead;<br/>
and their passing away was thought an affliction<br/>
and their going forth from us, utter destruction.<br/>
But they are in peace.<br/>
For if to others, indeed, they seem punished,<br/>
yet is their hope full of immortality;<br/>
chastised a little, they shall be greatly blessed,<br/>
because God tried them<br/>
and found them worthy of himself.<br/>
As gold in the furnace, he proved them,<br/>
and as sacrificial offerings he took them to himself.<br/>
Those who trust in him shall understand truth,<br/>
and the faithful shall abide with him in love:<br/>
because grace and mercy are with his holy ones,<br/>
and his care is with the elect.</p>
<p>The Word of the Lord</p>",reading,,Old Testament
60,Over the Rainbow,"<p>Somewhere<br/>
Way up high<br/>
There&#x27;s a land that I heard of<br/>
Once in a lullaby</p>
<p>Somewhere<br/>
Skies are blue<br/>
And the dreams that you dare to dream<br/>
Really do come true</p>
<p>Someday I&#x27;ll wish upon a star<br/>
And wake up where the clouds are far behind me<br/>
Where troubles melt like lemon drops<br/>
Away above the chimney tops<br/>
That&#x27;s where you&#x27;ll find me</p>
<p>Somewhere<br/>
Bluebirds fly<br/>
Birds fly<br/>
Why then, oh, why can&#x27;t I?<br/>
Somewhere<br/>
Bluebirds fly<br/>
Birds fly<br/>
Why then, oh, why can&#x27;t I?<br/>
If happy little bluebirds fly<br/>
Beyond the rainbow<br/>
Why, oh why can&#x27;t I?</p>
<p>….I’ll fly</p>",lyric,20 Over The Rainbow,","
61,Panis Angelicus,"<p>Fit panis hominum,<br/>
Dat panis coelicus,<br/>
Figuris terminum.</p>
<p>O res mirabilis!<br/>
Manducat Dominum,<br/>
Pauper, servus et humilis.</p>
<p>Te, trina Deitas,<br/>
Unaque poscimus:<br/>
Sic nos tu visita,<br/>
Sicut te colimus.</p>
<p>Per tuas semitas<br/>
Duc nos quo tendimus,<br/>
Ad lucem quam inhabitas. Amen.</p>",lyric,21 Panis Angelicus,","
62,Psalm 102,"<p>strong&gt;Response: The Lord is compassion and love.</p>
<p>The Lord is compassion and love,<br/>
slow to anger and rich in mercy.<br/>
He does not treat us according to our sins<br/>
nor repay us according to our faults. R.</p>
<p>As a father has compassion on his sons,<br/>
the Lord has pity on those who fear him;<br/>
for he knows of what we are made,<br/>
he remembers that we are dust. R.</p>
<p>As for man, his days are like grass;<br/>
he flowers like the flower of the field;<br/>
the wind blows and he is gone<br/>
and his place never sees him again. R.</p>
<p>But the love of the Lord is everlasting<br/>
upon those who hold him in fear;<br/>
his justice reaches out to children’s children<br/>
when they keep his covenant in truth. R.</p>",reading,,Psalms
63,Psalm 103:8-18,"<p>Psalm103:8-18The Lord is merciful and gracious, slow to anger and abounding in steadfast love.He will not always chide, nor will he keep his anger forever.He does not deal with us according to our sins,nor repay us according to our iniquities.For as high as the heavens are above the earth,so great is his steadfast love toward those who fear him;as far as the east is from the west,so far does he remove our transgressions from us.As a father shows compassion to his children,so the Lord shows compassion to those who fear him.For he knows our frame; he remembers that we are dust</p>",reading,,Psalms
64,Psalm 22,"<p>strong&gt;Response: The Lord is my shepherd; there is nothing I shall want.</p>
<p>The Lord is my shepherd;<br/>
There is nothing I shall want.<br/>
Fresh and green are the pastures where he gives me repose.<br/>
Near restful waters he leads me<br/>
to revive my drooping spirit. R.He guides me along the right path;<br/>
he is true to his name.<br/>
If I should walk in the valley of darkness,<br/>
no evil would I fear.<br/>
You are there with your crook and your staff;<br/>
with these you give me comfort. R.You have prepared a banquet for me<br/>
in the sight of my foes.<br/>
My head you have anointed with oil;<br/>
my cup is overflowing. R.Surely goodness and kindness shall follow me<br/>
all the days of my life.<br/>
In the Lord’s own house shall I dwell<br/>
for ever and ever. R.</p>",reading,,Psalms
65,Psalm 23,"<p>The Lord is my shepherd; I shall not want.He makes me lie down in green pastures.He leads me beside still waters.He restores my soul.He leads me in paths of righteousness for his name&#x27;s sake.Even though I walk through the valley of the shadow of death,I will fear no evil, for you are with me;your rod and your staff, they comfort me.You prepare a table before me in the presence of my enemies;you anoint my head with oil; my cup overflows.Surely goodness and mercy shall follow me all the days of my life,and I shall dwell in the house of the Lord forever.</p>",reading,,Psalms
66,Psalm 24,"<p>strong&gt;Response: To you, O Lord, I lift up my soul.</p>
<p>Remember your mercy, Lord,<br/>
and the love you have shown from of old.<br/>
In your love remember me,<br/>
because of your goodness. R.Relieve the anguish of my heart<br/>
and set me free from my distress.<br/>
See my affliction and my toil<br/>
and take all my sins away. R.Preserve my life and rescue me.<br/>
Do not disappoint me, you are my refuge.<br/>
May innocence and uprightness protect me:<br/>
for my hope is in you, O Lord. R.</p>",reading,,Psalms
67,Psalm 26,"<p>strong&gt;Response: The Lord is my light and my help.</p>
<p>The Lord is my light and my help;<br/>
whom shall I fear?<br/>
The Lord is the stronghold of my life;<br/>
before whom shall I shrink? R.There is one thing I ask of the Lord, for this I long,<br/>
to live in the house of the Lord,<br/>
all the days of my life,<br/>
to savour the sweetness of the Lord, to behold his temple. R.O Lord hear my voice when I call;<br/>
have mercy and answer.<br/>
It is your face,<br/>
O Lord, that I seek; hide not your face. R.I am sure I shall see the Lord’s goodness<br/>
in the land of the living.<br/>
Hope in him, hold firm and take heart.<br/>
Hope in the Lord! R.</p>",reading,,Psalms
68,Remember Me,"<p>Speak of me as you have always done.<br/>
Remember the good times, laughter, and fun.<br/>
Share the happy memories we’ve made.<br/>
Do not let them wither or fade.I’ll be with you in the summer’s sun<br/>
And when the winter’s chill has come.<br/>
I’ll be the voice that whispers in the breeze.<br/>
I’m peaceful now, put your mind at ease.I’ve rested my eyes and gone to sleep,<br/>
But memories we’ve shared are yours to keep.<br/>
Sometimes our final days may be a test,<br/>
But remember me when I was at my best.Although things may not be the same,<br/>
Don’t be afraid to use my name.<br/>
Let your sorrow last for just a while.<br/>
Comfort each other and try to smile.I’ve lived a life filled with joy and fun.<br/>
Live on now, make me proud of what you’ll become.— Anthony Dowson</p>",reading,,Poems
69,Revelation 14-13,"<p>Revelation 14- 13</p>
<p>14: 13</p>
<p>I, John, heard a voice from heaven say,<br/>
&quot;Write this: Blessed are the dead<br/>
who die in the Lord from now on.&quot;<br/>
&quot;Yes,&quot; said the Spirit,<br/>
&quot;let them find rest from their labors,<br/>
for their works accompany them.&quot;</p>
<p>The Word of the Lord</p>",reading,,New Testament
70,"Revelation 21-1-5a,6b-7","<p>Revelation 21- 1-5a, 6b-7<br/>
21: 1-5a, 6b-7</p>
<p>Then I saw a new heaven and a new earth.<br/>
for the first heaven and the first earth had passed away,<br/>
and the sea was no more.<br/>
And I saw the holy city, new Jerusalem,<br/>
coming down out of heaven from God,<br/>
prepared as a bride adorned for her husband.<br/>
And I heard a loud voice from the throne saying,<br/>
&quot;Behold, the dwelling place of God is with man.<br/>
He will dwell with them and they will be his people,<br/>
and God himself will be with them as their God.<br/>
He will wipe every tear from their eyes,<br/>
and death shall be no more, neither shall there be mourning,<br/>
nor crying, nor pain anymore, for the former things have passed away.&quot;<br/>
And he who was seated on the throne said,<br/>
Also he said &quot;write this down for these words are trustworthy and true.&quot;<br/>
And he said to me &quot;it is done!<br/>
I am the Alpha and the Omega, the beginning and the end.<br/>
To the thirsty I will give from the spring of the water of life without payment.<br/>
The one who conquers will have this heritage,<br/>
and I will be his God, and he will be my son.</p>",reading,,New Testament
71,Revelation 21:1-7,"<p>Revelation21:1-7Then I saw a new heaven and a new earth, for the first heaven and the first earth had passed away, and the sea was no more.And I saw the holy city, new Jerusalem, coming down out of heaven from God,prepared as a bride adorned for her husband.And I heard a loud voice from the throne saying,“Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God.He will wipe away every tear from their eyes, and death shall be no more, neither shall there be mourning, nor crying, nor pain anymore, for the former things have passed away.”And he who was seated on the throne said,“Behold, I am making all things new.”Also he said, “Write this down, for these words are trustworthy and true.”And he said to me, “It is done! I am the Alpha and the Omega, the beginning and the end.To the thirsty I will give from the spring of the water of life without payment.The one who conquers will have this heritage, and I will be his God and he will be my son.”</p>",reading,,New Testament
72,Romans 5: 5-11,"<p>And hope does not put us to shame, because God’s love has been poured into our hearts through the Holy Spirit who has been given to us.For while we were still weak, at the right time Christ died for the ungodly.For one will scarcely die for a righteous person—though perhaps for a good person one would dare even to die—but God shows his love for us in that while we were still sinners, Christ died for us.Since, therefore, we have now been justified by his blood, much more shall we be saved by him from the wrath of God.For if while we were enemies we were reconciled to God by the death of his Son, much more, now that we are reconciled, shall we be saved by his life.</p>",reading,,New Testament
73,Romans 6: 1-11,"<p>Romans 6: 1-11What shall we say then? Are we to continue in sin that grace may abound? By no means! How can we who died to sin still live in it? Do you not know that all of us who have been baptised into Christ Jesus were baptised into his death?We were buried therefore with him by baptism into death, in order that, just as Christ was raised from the dead by the glory of the Father, we too might walk in the newness of life.For if we have been united in a death like his, we shall certainly be united with him in a resurrection like his. We know that our old self was crucified with him in order that the body of sin might be brought to nothing, so that we would no longer be enslaved to sin. For one who has died has been set free from sin.  Now if we have died with Christ, we believe that we will also live with him. We know that Christ, being raised from the dead, will never die again; death no longer has dominion over him. For the death he died he died to sin, once for all, but the life he lives he lives to God. So you must consider yourselves dead to sin and alive to God in Christ Jesus.</p>",reading,,New Testament
74,Romans 6: 3-9,"<p>Do you not know that all of us who have been baptised into Christ Jesus were baptised into his death?We were buried therefore with him by baptism into death, in order that, just as Christ was raised from the dead by the glory of the Father,we too might walk in newness of life.For if we have been united with him in a death like his, we shall certainly be united with him in a resurrection like his.We know that our old self was crucified with him in order that the body of sin might be brought to nothing, so that we would no longer be enslaved to sin.For one who has died has been set free from sin.</p>",reading,,New Testament
75,Romans 8: 31-19,"<p>Romans 8: 31-39What then shall we say to these things? If God is for us, who can be against us? He who did not spare his own Son but gave him up for us all, how will he not also with him graciously give us all things? Who shall bring any charges against God’s elect? It is God who justifies. Who is to condemn?Christ Jesus is the one who died – more than that, who was raised -  who is at the right hand of God, who indeed is interceding for us. Who shall separate us from the love of Christ? Shall tribulation , or distress, or persecution, or famine, or nakedness, or danger , or sword?As it is written, “For your sake we are being killed all the day long; we are regarded as sheep to be slaughtered.”No, in all these things we are more than conquerors through him who loved us. For I am sure that neither death nor life, nor angels nor rulers, nor things present nor things to come, nor powers, nor height nor depth, nor anything else in creation, will be able to separate us from the love of God in Christ Jesus our Lord.</p>",reading,,New Testament
76,She Is Gone (He Is Gone),"<p>He Is Gone</p>
<p>You can shed tears that he is gone<br/>
Or you can smile because he has livedYou can close your eyes and pray that he will come back<br/>
Or you can open your eyes and see all that he has leftYour heart can be empty because you can’t see him<br/>
Or you can be full of the love that you sharedYou can turn your back on tomorrow and live yesterday<br/>
Or you can be happy for tomorrow because of yesterdayYou can remember him and only that he is gone<br/>
Or you can cherish his memory and let it live onYou can cry and close your mind, be empty and turn your back<br/>
Or you can do what he would want: smile, open your eyes, love and go on.</p>",reading,,Poems
77,Smile,"<p>even though it&#x27;s breaking<br/>
When there are clouds in the sky, you&#x27;ll get by<br/>
If you  through your fear and sorrow<br/>
and maybe tomorrow<br/>
You&#x27;ll see the sun come shining through for you</p>
<p>Light up your face with gladness<br/>
Hide every trace of sadness<br/>
Although a tear may be ever so near<br/>
That&#x27;s the time you must keep on trying<br/>
, what&#x27;s the use of crying?<br/>
You&#x27;ll find that life is still worthwhile<br/>
If you just</p>
<p>INSTRUMENTAL</p>
<p>Light up your face with gladness<br/>
Hide every trace of sadness<br/>
Although a tear may be ever so near<br/>
That&#x27;s the time you must keep on trying<br/>
, what&#x27;s the use of crying?<br/>
You&#x27;ll find that life is still worthwhile<br/>
If you just</p>",lyric,22 Smile,","
